"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact/Talk Group","Contact/Talk Group Call Type","Contact/Talk Group TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Digital Duplex","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Idle TX","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana APRS Mute","Send Talker Alias DMR/NX","AnaAprsTxPath","ARC4","ex_emg_kind","Rpga_Mdc","DisturEn","DisturFreq","dmr_crc_ignore","compand","tx_talkalaes","dup_call","tx_int","BtRxState","idle_tx","nxdn_wn","NxdnRpga","nxdnSqCon","NxdnTxBusy","NxDnPttId","EnRan","DeRan","NxdnEncry","NxdnGroupId","NxdnIdNum","NxdnStateNum","txcc"
"123","WA7DEM Mntlk","443.72500","448.72500","A-Analog","High","12.5K","Off","156.7","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"124","KG7CM Vshn Islnd","443.77500","448.77500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"125","KG7QPU Snohomis2","443.90000","448.90000","A-Analog","High","25K","Off","151.4","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"126","W7FLY Lynnwood","443.92500","448.92500","A-Analog","High","25K","Off","100.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"127","N7QOR Longbranch","443.95000","448.95000","A-Analog","High","25K","Off","141.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"128","N7QOR Seattle","443.95000","448.95000","A-Analog","High","25K","Off","127.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"129","W7PFR Eatonville","443.97500","448.97500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"130","K7SPG Seattle","444.00000","449.00000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"131","W7BRC Olalla","444.10000","449.10000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"132","K7HW Tacoma","444.17500","449.17500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"133","WA7ROY Roy","444.17500","449.17500","A-Analog","High","25K","Off","123.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"134","WA7DEM Mrysvll","444.20000","449.20000","A-Analog","High","12.5K","Off","156.7","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"135","KC7LFW W Seattle","444.22500","449.22500","A-Analog","High","25K","Off","123.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"136","AF7DX Sequim","444.27500","449.27500","A-Analog","High","25K","Off","100.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"137","WA7DEM Drrngtn","444.30000","449.30000","A-Analog","High","12.5K","Off","156.7","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"138","K7OET Cougar Mtn","444.32500","449.32500","A-Analog","High","25K","Off","100.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"139","AJ7JA Seattle","444.37500","449.37500","A-Analog","High","25K","Off","88.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"140","WW7SEA Seattle","444.42500","449.42500","A-Analog","High","25K","Off","141.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"141","W7NPC Bnbrdg","444.47500","449.47500","A-Analog","High","12.5K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"142","N7KGJ Squak Mtn","444.52500","449.52500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"143","W7ACS Seattle6","444.55000","449.55000","A-Analog","High","25K","Off","141.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"144","WA7LAW Everett2","444.57500","449.57500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"145","K7LWH Bellevue","444.60000","449.60000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"146","N7CRA Mt Vernon","444.62500","449.62500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"147","WA7HRJ Tgr Mtn E","444.65000","449.65000","A-Analog","High","25K","Off","131.8","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"148","WB7DOB Thr Sstr2","444.67500","449.67500","A-Analog","High","25K","Off","136.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"149","WW7SEA Seattle2","444.70000","449.70000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"150","NW7DR Kingston","444.72500","449.72500","A-Analog","High","25K","Off","123.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 02","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"151","WA7PUY Puyallup","444.75000","449.75000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 02","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"152","K7IDS Bellevue","444.77500","449.77500","A-Analog","High","25K","Off","173.8","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 02","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"153","W7USJ Gold Mtn","444.80000","449.80000","A-Analog","High","25K","Off","100.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 02","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"154","WW7MST Seattle3","444.82500","449.82500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 02","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"155","Audio Test 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Audio Test 2","Group Call","9999","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"156","Cascades 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Cascades 1","Group Call","3191","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"157","I-5 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","I-5 1","Group Call","3168","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"158","Idaho 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Idaho 1","Group Call","3116","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"159","Inland 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Inland 2","Group Call","465263","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"160","Local 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Local 1","Group Call","3181","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"161","Metro 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Metro 2","Group Call","3166","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"162","Montana 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Montana 2","Group Call","3130","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"163","Net 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Net 2","Group Call","31002","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"164","Oregon 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Oregon 1","Group Call","3141","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"165","PNW 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","PNW 1","Group Call","3187","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"166","PNW 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","PNW 2","Group Call","103187","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"167","PNW Rgnl 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","PNW Rgnl 2","Group Call","31771","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"168","Parrot 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Parrot 1","Group Call","9998","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"169","TAC 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","TAC 1","Group Call","8951","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"170","TAC 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","TAC 2","Group Call","8952","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"171","TAC 3 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","TAC 3","Group Call","8953","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"172","TAC 312 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","TAC 312","Group Call","312","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"173","USA 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","USA 2","Group Call","1776","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"174","Washington 1 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Washington 1","Group Call","3153","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"175","Washington 2 TBV","146.43750","147.43750","D-Digital","High","12.5K","Off","Off","Washington 2","Group Call","103153","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"176","Audio Test 2 BVV","147.02000","147.62000","D-Digital","High","12.5K","Off","Off","Audio Test 2","Group Call","9999","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"177","Audio Test 2 SHL","147.02000","147.62000","D-Digital","High","12.5K","Off","Off","Audio Test 2","Group Call","9999","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","2","2","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"178","BC 1 BVV","147.02000","147.62000","D-Digital","High","12.5K","Off","Off","BC 1","Group Call","3027","WA7DAM","Same Color Code","Carrier","Off","1","1","1","Off","1","1","DMR Puget Sou 01","PNWDigital RX","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
